"BehaviorSpace results (NetLogo 6.1.1)"
"Wolf Sheep Predation.nlogo"
"wolf-sheep-grass-simpler"
"04/21/2020 12:31:36:944 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-gain-from-food","show-energy?","initial-number-wolves","wolf-reproduce","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","sheep-reproduce","[step]","count sheep","count wolves","count turtles"
"73","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","123","125","248"
"76","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","379","63","442"
"77","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","333","44","377"
"78","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","208","41","249"
"79","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","207","69","276"
"80","20","false","10","5","90","sheep-wolves-grass","4","20","4","1000","72","54","126"
"81","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","187","67","254"
"82","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","164","74","238"
"83","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","159","81","240"
"84","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","210","94","304"
"85","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","182","88","270"
"86","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","157","75","232"
"88","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","174","80","254"
"87","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","167","57","224"
"89","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","153","87","240"
"90","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","167","82","249"
"91","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","134","80","214"
"93","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","168","74","242"
"92","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","163","80","243"
"94","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","132","76","208"
"95","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","139","68","207"
"96","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","177","80","257"
"98","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","158","97","255"
"97","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","162","77","239"
"99","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","166","62","228"
"101","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","135","44","179"
"100","20","false","10","5","90","sheep-wolves-grass","4","30","4","1000","176","70","246"
"102","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","168","31","199"
"103","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","145","51","196"
"104","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","170","18","188"
"105","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","150","40","190"
"107","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","175","53","228"
"106","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","143","51","194"
"108","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","195","17","212"
"109","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","167","37","204"
"110","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","167","29","196"
"111","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","168","21","189"
"112","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","177","33","210"
"113","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","191","0","191"
"114","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","150","35","185"
"115","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","158","27","185"
"117","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","181","27","208"
"116","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","214","7","221"
"118","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","174","0","174"
"120","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","145","43","188"
"119","20","false","10","5","90","sheep-wolves-grass","4","40","4","1000","155","45","200"
"121","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","244","133","377"
"122","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","97","154","251"
"123","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","224","72","296"
"125","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","471","20","491"
"124","20","false","10","5","120","sheep-wolves-grass","4","20","4","1000","274","127","401"
